Species,MRD,Tool,Precision,Recall,F1 Score
Escherichia coli,0.01,Confindr,0.2587369544128374,0.748509485094851,0.3750962548835778
Escherichia coli,0.01,NanoMGT,0.2579468184034436,0.6905149051490515,0.37254030122987697
Escherichia coli,0.02,Confindr,0.30729937308270716,0.7955435109906654,0.43607021651501987
Escherichia coli,0.02,NanoMGT,0.410904244585649,0.7097259861487504,0.5078623031868164
Escherichia coli,0.03,Confindr,0.4303001117205145,0.7835365853658537,0.5478215459129654
Escherichia coli,0.03,NanoMGT,0.49570783545603536,0.7462737127371273,0.5789974985256817
Escherichia coli,0.04,Confindr,0.5663138107967063,0.7297715834301199,0.6255763201386662
Escherichia coli,0.04,NanoMGT,0.5109280750209187,0.8052651955090979,0.6130577107733297
Escherichia coli,0.05,Confindr,0.6623214853770024,0.6851851851851851,0.6571638307844601
Escherichia coli,0.05,NanoMGT,0.5997526558878287,0.8107497741644084,0.6766503148834113
Staphylococcus aureus,0.01,Confindr,0.36963724972013734,0.7495833333333334,0.48078909357959576
Staphylococcus aureus,0.01,NanoMGT,0.2969871311672409,0.7129166666666668,0.4165123722890097
Staphylococcus aureus,0.02,Confindr,0.4605742215362978,0.788425925925926,0.5729150319491997
Staphylococcus aureus,0.02,NanoMGT,0.43014009467440445,0.7222222222222222,0.5292130360289369
Staphylococcus aureus,0.03,Confindr,0.664146846222388,0.7760416666666666,0.704335692290152
Staphylococcus aureus,0.03,NanoMGT,0.5558106358287505,0.7505208333333333,0.6289079608754626
Staphylococcus aureus,0.04,Confindr,0.7498583274521557,0.75,0.7389053894336486
Staphylococcus aureus,0.04,NanoMGT,0.6122434749704245,0.8017857142857142,0.6876674987098286
Staphylococcus aureus,0.05,Confindr,0.7777790777377359,0.6986111111111111,0.7272219322922275
Staphylococcus aureus,0.05,NanoMGT,0.7052170653192893,0.8125,0.752138559823984
Campylobacter jejuni,0.01,Confindr,0.4333742606128489,0.6889756944444445,0.5254708084984928
Campylobacter jejuni,0.01,NanoMGT,0.4895397189536772,0.559375,0.5191452897996858
Campylobacter jejuni,0.02,Confindr,0.5377352372768599,0.7077546296296297,0.6087661536053484
Campylobacter jejuni,0.02,NanoMGT,0.6818157269765279,0.7088155864197531,0.6807068297681774
Campylobacter jejuni,0.03,Confindr,0.6530649480723699,0.6689453124999999,0.6568373643251835
Campylobacter jejuni,0.03,NanoMGT,0.7605548187560933,0.7772352430555555,0.7556301431552618
Campylobacter jejuni,0.04,Confindr,0.7150608081280406,0.621031746031746,0.6571928192977807
Campylobacter jejuni,0.04,NanoMGT,0.7718123978365741,0.8743799603174603,0.8151866976240603
Campylobacter jejuni,0.05,Confindr,0.7477103692107888,0.575954861111111,0.6405394726018551
Campylobacter jejuni,0.05,NanoMGT,0.8320097551348639,0.898582175925926,0.8603843429085675
Salmonella enterica,0.01,Confindr,0.25121981431007795,0.8019753086419753,0.37373336308506155
Salmonella enterica,0.01,NanoMGT,0.2659550905828188,0.7320987654320988,0.38787293333065015
Salmonella enterica,0.02,Confindr,0.30469061265759606,0.8480109739368998,0.4436267869568291
Salmonella enterica,0.02,NanoMGT,0.3610252476414295,0.8150891632373114,0.4959937246050883
Salmonella enterica,0.03,Confindr,0.458672670483491,0.8469135802469137,0.5868791817642157
Salmonella enterica,0.03,NanoMGT,0.4203312971920854,0.8654320987654323,0.560954086856462
Salmonella enterica,0.04,Confindr,0.586960776798903,0.8236331569664903,0.6767265554753596
Salmonella enterica,0.04,NanoMGT,0.4395284187081575,0.9305114638447972,0.5904968453548276
Salmonella enterica,0.05,Confindr,0.6511744173511781,0.7967078189300411,0.7099519140217848
Salmonella enterica,0.05,NanoMGT,0.49949029762071345,0.9341563786008229,0.6450742812175746
Klebsiella pneumoniae,0.01,Confindr,0.2555903160970109,0.8133333333333332,0.3770222749100781
Klebsiella pneumoniae,0.01,NanoMGT,0.29484796885749276,0.6344444444444445,0.39510296726789884
Klebsiella pneumoniae,0.02,Confindr,0.33222333237183527,0.8629629629629629,0.4625533641583826
Klebsiella pneumoniae,0.02,NanoMGT,0.5508835311166835,0.6753086419753086,0.5801677148324234
Klebsiella pneumoniae,0.03,Confindr,0.46657280547609103,0.8791666666666667,0.5874779468148019
Klebsiella pneumoniae,0.03,NanoMGT,0.6169818830714144,0.7597222222222222,0.6565439443558949
Klebsiella pneumoniae,0.04,Confindr,0.6372686169023718,0.846031746031746,0.6919145076121869
Klebsiella pneumoniae,0.04,NanoMGT,0.6636274465008659,0.888888888888889,0.7437867052015762
Klebsiella pneumoniae,0.05,Confindr,0.710157770867153,0.8037037037037038,0.7194094400691841
Klebsiella pneumoniae,0.05,NanoMGT,0.7753715247362049,0.8925925925925927,0.8198710320301679
